epoch,train_loss,val_loss,lr
1,0.00014319281753721029,1.3052411450967897e-05,0.0008467323221933899
2,4.041980749286201e-05,3.333722243388725e-05,0.0008467323221933899
3,3.860210782179073e-05,1.0782922547920418e-05,0.0008467323221933899
4,3.758145138678563e-05,1.4238765614640596e-05,0.0008467323221933899
5,3.710216349589134e-05,1.1622708953181309e-05,0.0008467323221933899
6,3.6668636802227535e-05,7.997552001308027e-06,0.0008467323221933899
7,3.645264204684515e-05,8.579056595366172e-06,0.0008467323221933899
8,3.614288902063997e-05,7.486313408053532e-06,0.0008467323221933899
9,3.60856389137461e-05,9.17151698492045e-06,0.0008467323221933899
10,3.5942575107598496e-05,7.574880506251438e-06,0.0008467323221933899
11,3.5782818314125084e-05,1.1672186507196383e-05,0.0008467323221933899
12,3.5676969117393934e-05,7.465255439811424e-06,0.0008467323221933899
13,3.558541866401132e-05,5.89107031463395e-06,0.0008467323221933899
14,3.554017036075589e-05,7.414430575776943e-06,0.0008467323221933899
15,3.549261671896145e-05,5.546550073225706e-06,0.0008467323221933899
16,3.541106174139998e-05,8.696413135933041e-06,0.0008467323221933899
17,3.5380684328265485e-05,7.133762752075496e-06,0.0008467323221933899
18,3.5306535102589595e-05,5.596066865177289e-06,0.0008467323221933899
19,3.525294223166196e-05,9.134027528133904e-06,0.0008467323221933899
20,3.515551451661275e-05,5.523419063506164e-06,0.0008467323221933899
21,3.522395420869599e-05,5.94577917106298e-06,0.0008467323221933899
22,3.519978587438909e-05,4.388106848053339e-06,0.0008467323221933899
23,3.5105227557070785e-05,7.194765237752933e-06,0.0008467323221933899
24,3.50900037551049e-05,6.795448038335667e-06,0.0008467323221933899
25,3.5105205670274875e-05,7.456454351547087e-06,0.0008467323221933899
26,3.501678394529625e-05,4.941312810140431e-06,0.0008467323221933899
27,3.4987303351803924e-05,5.847473169519934e-06,0.0008467323221933899
28,3.494565240640776e-05,7.863490465295103e-06,0.0008467323221933899
