epoch,train_loss,val_loss,val_action_accuracy,lr
1,0.004435349456974248,0.0016311273054728762,0.9985348837209302,0.002575518823437455
2,0.0024743214389764544,0.0009078332143207622,0.9993325581395349,0.002575518823437455
3,0.0021785321748994976,0.0008805496214786111,0.9993279069767442,0.002575518823437455
4,0.002049181057332739,0.0010911477960472884,0.999206976744186,0.002575518823437455
5,0.001904291437428403,0.0007360772476455759,0.9994906976744186,0.002575518823437455
6,0.0018301678714763851,0.0013294954802223677,0.998906976744186,0.002575518823437455
7,0.0018164104195696681,0.0009279121215000402,0.9992604651162791,0.002575518823437455
8,0.0017466597444258172,0.0008689067683491292,0.9993674418604651,0.002575518823437455
9,0.001724715676692486,0.0006909727140855001,0.9995069767441861,0.002575518823437455
10,0.0017118373767340128,0.0011979422751889931,0.9991837209302326,0.002575518823437455
11,0.00167300810049699,0.0008274182049887862,0.9993116279069767,0.002575518823437455
12,0.0016483126366365305,0.0006878578125872801,0.9995162790697675,0.002575518823437455
13,0.0016621500246538964,0.0006421214717099184,0.9995255813953489,0.002575518823437455
14,0.001643505015252054,0.001761380654419664,0.9989046511627907,0.002575518823437455
15,0.0016378863286167155,0.0007768067380445901,0.9993046511627907,0.002575518823437455
16,0.0016181256730447642,0.0008218026779018082,0.999446511627907,0.002575518823437455
17,0.0016050759824739467,0.0008479087532340917,0.9993209302325582,0.002575518823437455
18,0.0016398900750472976,0.0013111013683988605,0.9990372093023255,0.002575518823437455
19,0.0015929856152437606,0.0007540444346025673,0.9994186046511628,0.002575518823437455
